premise,hypothesis,gold_label,trigger,SetID,UID,trigger_words,premise_type
Jennifer believes that her colleagues are waiting.,Jennifer has colleagues.,E,possessive,9,type5_possessive_1_09,her colleagues,Attitude Premise
"If Jennifer finishes her presentation early and her colleagues take her out for lunch, it's okay.",Jennifer has colleagues.,E,possessive,9,type5_possessive_1_09,her colleagues,Conjunction Premise
"Either Jennifer doesn't finish her presentation early, or she and her colleagues go out for lunch.",Jennifer has colleagues.,E,possessive,9,type5_possessive_1_09,her colleagues,Disjunction Premise
"If Jennifer finishes her presentation early, her colleagues will take her out for lunch.",Jennifer has colleagues.,E,possessive,9,type5_possessive_1_09,her colleagues,premise
Sarah believes that her husband is waiting.,Sarah has a husband.,E,possessive,10,type5_possessive_1_10,her husband,Attitude Premise
"If Sarah has a doctor's appointment and her husband drives her to the clinic, it's okay.",Sarah has a husband.,E,possessive,10,type5_possessive_1_10,her husband,Conjunction Premise
"Either Sarah doesn't have a doctor's appointment, or she and her husband go to the clinic together.",Sarah has a husband.,E,possessive,10,type5_possessive_1_10,her husband,Disjunction Premise
"If Sarah has a doctor's appointment, her husband will drive her to the clinic.",Sarah has a husband.,E,possessive,10,type5_possessive_1_10,her husband,premise
Evelyn believes that her best friend is waiting at the airport.,Evelyn has a best friend.,E,possessive,11,type5_possessive_1_11,her best friend,Attitude Premise
"If Evelyn lands in New York and her best friend greets her at the airport, it's okay.",Evelyn has a best friend.,E,possessive,11,type5_possessive_1_11,her best friend,Conjunction Premise
"Either Evelyn doesn't land in New York, or she and her best friend don't meet at the airport.",Evelyn has a best friend.,E,possessive,11,type5_possessive_1_11,her best friend,Disjunction Premise
"If Evelyn lands in New York, her best friend will greet her at the airport.",Evelyn has a best friend.,E,possessive,11,type5_possessive_1_11,her best friend,premise
Daniel believes that his best friend is at the train station.,Daniel has a best friend.,E,possessive,12,type5_possessive_1_12,his best friend,Attitude Premise
"If Daniel arrives on time and his best friend is waiting for him at the train station, it's okay.",Daniel has a best friend.,E,possessive,12,type5_possessive_1_12,his best friend,Conjunction Premise
"Either Daniel doesn't arrive on time, or he and his best friend do.",Daniel has a best friend.,E,possessive,12,type5_possessive_1_12,his best friend,Disjunction Premise
"If Daniel arrives on time, his best friend will be waiting for him at the train station.",Daniel has a best friend.,E,possessive,12,type5_possessive_1_12,his best friend,premise
Isabella believes that her colleague is generous.,Isabella has a colleague.,E,possessive,13,type5_possessive_1_13,her colleague,Attitude Premise
"If Isabella finishes her work early and her colleague treats her to lunch, it's okay.",Isabella has a colleague.,E,possessive,13,type5_possessive_1_13,her colleague,Conjunction Premise
"Either Isabella doesn't finish her work early, or she and her colleague go out for lunch.",Isabella has a colleague.,E,possessive,13,type5_possessive_1_13,her colleague,Disjunction Premise
"If Isabella finishes her work early, her colleague will treat her to lunch.",Isabella has a colleague.,E,possessive,13,type5_possessive_1_13,her colleague,premise
Elijah believes that his colleague is waiting at the hotel.,Elijah has a colleague.,E,possessive,14,type5_possessive_1_14,his colleague,Attitude Premise
"If Elijah attends the conference and his colleague meets him at the hotel, it's okay.",Elijah has a colleague.,E,possessive,14,type5_possessive_1_14,his colleague,Conjunction Premise
"Either Elijah doesn't attend the conference, or he and his colleague meet at the hotel.",Elijah has a colleague.,E,possessive,14,type5_possessive_1_14,his colleague,Disjunction Premise
"If Elijah attends the conference, his colleague will meet him at the hotel.",Elijah has a colleague.,E,possessive,14,type5_possessive_1_14,his colleague,premise
Patricia believes that her colleague is waiting outside.,Patricia has a colleague.,E,possessive,15,type5_possessive_1_15,her colleague,Attitude Premise
"If Patricia finishes her presentation early and her colleague takes her out for lunch, it's okay.",Patricia has a colleague.,E,possessive,15,type5_possessive_1_15,her colleague,Conjunction Premise
"Either Patricia doesn't finish her presentation early, or she and her colleague go out for lunch.",Patricia has a colleague.,E,possessive,15,type5_possessive_1_15,her colleague,Disjunction Premise
"If Patricia finishes her presentation early, her colleague will take her out for lunch.",Patricia has a colleague.,E,possessive,15,type5_possessive_1_15,her colleague,premise
Linda believes that her parents are proud.,Linda has parents.,E,possessive,16,type5_possessive_1_16,her parents,Attitude Premise
"If Linda graduates from college and her parents throw her a graduation party, it's okay.",Linda has parents.,E,possessive,16,type5_possessive_1_16,her parents,Conjunction Premise
"Either Linda doesn't graduate from college, or she and her parents celebrate with a graduation party.",Linda has parents.,E,possessive,16,type5_possessive_1_16,her parents,Disjunction Premise
"If Linda graduates from college, her parents will throw her a graduation party.",Linda has parents.,E,possessive,16,type5_possessive_1_16,her parents,premise
Karen believes that her friend is at the bus station.,Karen has a friend.,E,possessive,17,type5_possessive_1_17,her friend,Attitude Premise
"If Karen's flight is delayed and her friend waits for her at the bus station, it's okay.",Karen has a friend.,E,possessive,17,type5_possessive_1_17,her friend,Conjunction Premise
"Either Karen's flight isn't delayed, or she and her friend wait for her at the bus station.",Karen has a friend.,E,possessive,17,type5_possessive_1_17,her friend,Disjunction Premise
"If Karen's flight is delayed, her friend will wait for her at the bus station.",Karen has a friend.,E,possessive,17,type5_possessive_1_17,her friend,premise
Abigail believes that her colleague is generous.,Abigail has a colleague.,E,possessive,18,type5_possessive_1_18,her colleague,Attitude Premise
"If Abigail finishes her presentation early and her colleague treats her to lunch, it's okay.",Abigail has a colleague.,E,possessive,18,type5_possessive_1_18,her colleague,Conjunction Premise
"Either Abigail doesn't finish her presentation early, or she and her colleague will go out for lunch.",Abigail has a colleague.,E,possessive,18,type5_possessive_1_18,her colleague,Disjunction Premise
"If Abigail finishes her presentation early, her colleague will treat her to lunch.",Abigail has a colleague.,E,possessive,18,type5_possessive_1_18,her colleague,premise
Elizabeth believes that her colleagues are at the bar.,Elizabeth has colleagues.,E,possessive,19,type5_possessive_1_19,her colleagues,Attitude Premise
"If Elizabeth finishes her presentation early and her colleagues take her out for celebratory drinks, it's okay.",Elizabeth has colleagues.,E,possessive,19,type5_possessive_1_19,her colleagues,Conjunction Premise
"Either Elizabeth doesn't finish her presentation early, or she and her colleagues go out for celebratory drinks.",Elizabeth has colleagues.,E,possessive,19,type5_possessive_1_19,her colleagues,Disjunction Premise
"If Elizabeth finishes her presentation early, her colleagues will take her out for celebratory drinks.",Elizabeth has colleagues.,E,possessive,19,type5_possessive_1_19,her colleagues,premise
Zoey believes that his colleague is waiting outside.,Zoey has a colleague.,E,possessive,20,type5_possessive_1_20,his colleague,Attitude Premise
"If Zoey finishes his meeting early and his colleague drives him to the client's office, it's okay.",Zoey has a colleague.,E,possessive,20,type5_possessive_1_20,his colleague,Conjunction Premise
"Either Zoey doesn't finish his meeting early, or he and his colleague drive to the client's office.",Zoey has a colleague.,E,possessive,20,type5_possessive_1_20,his colleague,Disjunction Premise
"If Zoey finishes his meeting early, his colleague will drive him to the client's office.",Zoey has a colleague.,E,possessive,20,type5_possessive_1_20,his colleague,premise
Harper believes that her friend is waiting at the train station.,Harper has a friend.,E,possessive,21,type5_possessive_1_21,her friend,Attitude Premise
"If Harper arrives early and her friend meets her at the train station, it's okay.",Harper has a friend.,E,possessive,21,type5_possessive_1_21,her friend,Conjunction Premise
"Either Harper doesn't arrive early, or she and her friend meet at the train station.",Harper has a friend.,E,possessive,21,type5_possessive_1_21,her friend,Disjunction Premise
"If Harper arrives early, her friend will meet her at the train station.",Harper has a friend.,E,possessive,21,type5_possessive_1_21,her friend,premise
Ethan believes that his colleague is waiting.,Ethan has a colleague.,E,possessive,22,type5_possessive_1_22,his colleague,Attitude Premise
"If Ethan arrives on time and his colleague gives him a ride to the meeting, it's okay.",Ethan has a colleague.,E,possessive,22,type5_possessive_1_22,his colleague,Conjunction Premise
"Either Ethan doesn't arrive on time, or he and his colleague won't give him a ride to the meeting.",Ethan has a colleague.,E,possessive,22,type5_possessive_1_22,his colleague,Disjunction Premise
"If Ethan arrives on time, his colleague will give him a ride to the meeting.",Ethan has a colleague.,E,possessive,22,type5_possessive_1_22,his colleague,premise
Kimberly believes that his friend is waiting.,Kimberly has a friend.,E,possessive,23,type5_possessive_1_23,his friend,Attitude Premise
"If Kimberly finishes work early and his friend drives him to the concert, it's okay.",Kimberly has a friend.,E,possessive,23,type5_possessive_1_23,his friend,Conjunction Premise
"Either Kimberly doesn't finish work early, or he and his friend drive to the concert.",Kimberly has a friend.,E,possessive,23,type5_possessive_1_23,his friend,Disjunction Premise
"If Kimberly finishes work early, his friend will drive him to the concert.",Kimberly has a friend.,E,possessive,23,type5_possessive_1_23,his friend,premise
Ashley believes that her parents are supportive.,Ashley has parents.,E,possessive,24,type5_possessive_1_24,her parents,Attitude Premise
"If Ashley decides to study abroad and her parents help her with the application process, it's okay.",Ashley has parents.,E,possessive,24,type5_possessive_1_24,her parents,Conjunction Premise
"Either Ashley doesn't decide to study abroad, or she and her parents help her with the application process.",Ashley has parents.,E,possessive,24,type5_possessive_1_24,her parents,Disjunction Premise
"If Ashley decides to study abroad, her parents will help her with the application process.",Ashley has parents.,E,possessive,24,type5_possessive_1_24,her parents,premise
Joshua believes that his colleague is reliable.,Joshua has a colleague.,E,possessive,25,type5_possessive_1_25,his colleague,Attitude Premise
"If Joshua agrees to the meeting and his colleague drives him to the conference venue, it's okay.",Joshua has a colleague.,E,possessive,25,type5_possessive_1_25,his colleague,Conjunction Premise
"Either Joshua doesn't agree to the meeting, or he and his colleague drive to the conference venue.",Joshua has a colleague.,E,possessive,25,type5_possessive_1_25,his colleague,Disjunction Premise
"If Joshua agrees to the meeting, his colleague will drive him to the conference venue.",Joshua has a colleague.,E,possessive,25,type5_possessive_1_25,his colleague,premise
David believes that his colleague is waiting.,David has a colleague.,E,possessive,26,type5_possessive_1_26,his colleague,Attitude Premise
"If David attends the conference and his colleague meets him at the hotel, it's okay.",David has a colleague.,E,possessive,26,type5_possessive_1_26,his colleague,Conjunction Premise
"Either David doesn't attend the conference, or he and his colleague meet at the hotel.",David has a colleague.,E,possessive,26,type5_possessive_1_26,his colleague,Disjunction Premise
"If David attends the conference, his colleague will meet him at the hotel.",David has a colleague.,E,possessive,26,type5_possessive_1_26,his colleague,premise
Avery believes that her colleague is supportive.,Avery has a colleague.,E,possessive,27,type5_possessive_1_27,her colleague,Attitude Premise
"If Avery decides to attend the conference and her colleague accompanies her during the networking event, it's okay.",Avery has a colleague.,E,possessive,27,type5_possessive_1_27,her colleague,Conjunction Premise
"Either Avery doesn't decide to attend the conference, or she and her colleague attend the networking event together.",Avery has a colleague.,E,possessive,27,type5_possessive_1_27,her colleague,Disjunction Premise
"If Avery decides to attend the conference, her colleague will accompany her during the networking event.",Avery has a colleague.,E,possessive,27,type5_possessive_1_27,her colleague,premise
Steven believes that his friend is at the venue.,Steven has a friend.,E,possessive,28,type5_possessive_1_28,his friend,Attitude Premise
"If Steven drives to the concert and his friend meets him at the venue, it's okay.",Steven has a friend.,E,possessive,28,type5_possessive_1_28,his friend,Conjunction Premise
"Either Steven doesn't drive to the concert, or he and his friend meet at the venue.",Steven has a friend.,E,possessive,28,type5_possessive_1_28,his friend,Disjunction Premise
"If Steven drives to the concert, his friend will meet him at the venue.",Steven has a friend.,E,possessive,28,type5_possessive_1_28,his friend,premise
Barbara believes that her neighbor is reliable.,Barbara has a neighbor.,E,possessive,29,type5_possessive_1_29,her neighbor,Attitude Premise
"If Barbara's car breaks down and her neighbor gives her a ride to work, it's okay.",Barbara has a neighbor.,E,possessive,29,type5_possessive_1_29,her neighbor,Conjunction Premise
"Either Barbara's car doesn't break down, or she and her neighbor give her a ride to work.",Barbara has a neighbor.,E,possessive,29,type5_possessive_1_29,her neighbor,Disjunction Premise
"If Barbara's car breaks down, her neighbor will give her a ride to work.",Barbara has a neighbor.,E,possessive,29,type5_possessive_1_29,her neighbor,premise
Dorothy believes that her colleague is waiting outside.,Dorothy has a colleague.,E,possessive,30,type5_possessive_1_30,her colleague,Attitude Premise
"If Dorothy finishes her meeting early and her colleague drives her home, it's okay.",Dorothy has a colleague.,E,possessive,30,type5_possessive_1_30,her colleague,Conjunction Premise
"Either Dorothy doesn't finish her meeting early, or she and her colleague will drive her home.",Dorothy has a colleague.,E,possessive,30,type5_possessive_1_30,her colleague,Disjunction Premise
"If Dorothy finishes her meeting early, her colleague will drive her home.",Dorothy has a colleague.,E,possessive,30,type5_possessive_1_30,her colleague,premise
Amelia believes that his colleague is waiting.,Amelia has a colleague.,E,possessive,31,type5_possessive_1_31,his colleague,Attitude Premise
"If Amelia finishes his work early and his colleague takes him out for lunch, it's okay.",Amelia has a colleague.,E,possessive,31,type5_possessive_1_31,his colleague,Conjunction Premise
"Either Amelia doesn't finish his work early, or he and his colleague go out for lunch.",Amelia has a colleague.,E,possessive,31,type5_possessive_1_31,his colleague,Disjunction Premise
"If Amelia finishes his work early, his colleague will take him out for lunch.",Amelia has a colleague.,E,possessive,31,type5_possessive_1_31,his colleague,premise
Sophia believes that his best friend is waiting.,Sophia has a best friend.,E,possessive,32,type5_possessive_1_32,his best friend,Attitude Premise
"If Sophia decides to attend the concert and his best friend drives him there, it's okay.",Sophia has a best friend.,E,possessive,32,type5_possessive_1_32,his best friend,Conjunction Premise
"Either Sophia doesn't decide to attend the concert, or he and his best friend drive there.",Sophia has a best friend.,E,possessive,32,type5_possessive_1_32,his best friend,Disjunction Premise
"If Sophia decides to attend the concert, his best friend will drive him there.",Sophia has a best friend.,E,possessive,32,type5_possessive_1_32,his best friend,premise
Mark believes that his friend is waiting at the airport.,Mark has a friend.,E,possessive,33,type5_possessive_1_33,his friend,Attitude Premise
"If Mark's flight is delayed and his friend waits for him at the airport, it's okay.",Mark has a friend.,E,possessive,33,type5_possessive_1_33,his friend,Conjunction Premise
"Either Mark's flight isn't delayed, or he and his friend will wait for him at the airport.",Mark has a friend.,E,possessive,33,type5_possessive_1_33,his friend,Disjunction Premise
"If Mark flight is delayed, his friend will wait for him at the airport.",Mark has a friend.,E,possessive,33,type5_possessive_1_33,his friend,premise
Olivia believes that his brother is waiting at the train station.,Olivia has a brother.,E,possessive,34,type5_possessive_1_34,his brother,Attitude Premise
"If Olivia travels to Paris and his brother meets him at the train station, it's okay.",Olivia has a brother.,E,possessive,34,type5_possessive_1_34,his brother,Conjunction Premise
"Either Olivia doesn't travel to Paris, or she and her brother meet at the train station.",Olivia has a brother.,E,possessive,34,type5_possessive_1_34,his brother,Disjunction Premise
"If Olivia travels to Paris, his brother will meet him at the train station.",Olivia has a brother.,E,possessive,34,type5_possessive_1_34,his brother,premise
Christopher believes that his friend is at the train station.,Christopher has a friend.,E,possessive,35,type5_possessive_1_35,his friend,Attitude Premise
"If Christopher arrives on time and his friend is waiting for him at the train station, it's okay.",Christopher has a friend.,E,possessive,35,type5_possessive_1_35,his friend,Conjunction Premise
"Either Christopher doesn't arrive on time, or he and his friend will be waiting for him at the train station.",Christopher has a friend.,E,possessive,35,type5_possessive_1_35,his friend,Disjunction Premise
"If Christopher arrives on time, his friend will be waiting for him at the train station.",Christopher has a friend.,E,possessive,35,type5_possessive_1_35,his friend,premise
Margaret believes that her colleague is waiting outside.,Margaret has a colleague.,E,possessive,36,type5_possessive_1_36,her colleague,Attitude Premise
"If Margaret decides to attend the conference and her colleague shares a ride with her, it's okay.",Margaret has a colleague.,E,possessive,36,type5_possessive_1_36,her colleague,Conjunction Premise
"Either Margaret doesn't decide to attend the conference, or she and her colleague share a ride.",Margaret has a colleague.,E,possessive,36,type5_possessive_1_36,her colleague,Disjunction Premise
"If Margaret decides to attend the conference, her colleague will share a ride with her.",Margaret has a colleague.,E,possessive,36,type5_possessive_1_36,her colleague,premise
Emma believes that her friend is waiting.,Emma has a friend.,E,possessive,37,type5_possessive_1_37,her friend,Attitude Premise
"If Emma lands in New York and her friend drives her to the hotel, it's okay.",Emma has a friend.,E,possessive,37,type5_possessive_1_37,her friend,Conjunction Premise
"Either Emma doesn't land in New York, or she and her friend drive to the hotel.",Emma has a friend.,E,possessive,37,type5_possessive_1_37,her friend,Disjunction Premise
"If Emma lands in New York, her friend will drive her to the hotel.",Emma has a friend.,E,possessive,37,type5_possessive_1_37,her friend,premise
Mary believes that her colleague is at the event.,Mary has a colleague.,E,possessive,38,type5_possessive_1_38,her colleague,Attitude Premise
"If Mary attends the conference and her colleague accompanies her to the networking event, it's okay.",Mary has a colleague.,E,possessive,38,type5_possessive_1_38,her colleague,Conjunction Premise
"Either Mary doesn't attend the conference, or she and her colleague go to the networking event together.",Mary has a colleague.,E,possessive,38,type5_possessive_1_38,her colleague,Disjunction Premise
"If Mary attends the conference, her colleague will accompany her to the networking event.",Mary has a colleague.,E,possessive,38,type5_possessive_1_38,her colleague,premise
Grace believes that her friend is waiting outside.,Grace has a friend.,E,possessive,39,type5_possessive_1_39,her friend,Attitude Premise
"If Grace misses the bus and her friend gives her a ride to work, it's okay.",Grace has a friend.,E,possessive,39,type5_possessive_1_39,her friend,Conjunction Premise
"Either Grace doesn't miss the bus, or she and her friend give her a ride to work.",Grace has a friend.,E,possessive,39,type5_possessive_1_39,her friend,Disjunction Premise
"If Grace misses the bus, her friend will give her a ride to work.",Grace has a friend.,E,possessive,39,type5_possessive_1_39,her friend,premise
Donna believes that her colleagues are waiting.,Donna has colleagues.,E,possessive,40,type5_possessive_1_40,her colleagues,Attitude Premise
"If Donna finishes her work early and her colleagues treat her to lunch, it's okay.",Donna has colleagues.,E,possessive,40,type5_possessive_1_40,her colleagues,Conjunction Premise
"Either Donna doesn't finish her work early, or she and her colleagues go out for lunch.",Donna has colleagues.,E,possessive,40,type5_possessive_1_40,her colleagues,Disjunction Premise
"If Donna finishes her work early, her colleagues will treat her to lunch.",Donna has colleagues.,E,possessive,40,type5_possessive_1_40,her colleagues,premise
Sandra believes that her colleague is waiting outside.,Sandra has a colleague.,E,possessive,41,type5_possessive_1_41,her colleague,Attitude Premise
"If Sandra finishes her work early and her colleague takes her out for lunch, it's okay.",Sandra has a colleague.,E,possessive,41,type5_possessive_1_41,her colleague,Conjunction Premise
"Either Sandra doesn't finish her work early, or she and her colleague go out for lunch.",Sandra has a colleague.,E,possessive,41,type5_possessive_1_41,her colleague,Disjunction Premise
"If Sandra finishes her work early, her colleague will take her out for lunch.",Sandra has a colleague.,E,possessive,41,type5_possessive_1_41,her colleague,premise
Nancy believes that her friend is at the train station.,Nancy has a friend.,E,possessive,42,type5_possessive_1_42,her friend,Attitude Premise
"If Nancy arrives early and her friend is waiting for her at the train station, it's okay.",Nancy has a friend.,E,possessive,42,type5_possessive_1_42,her friend,Conjunction Premise
"Either Nancy doesn't arrive early, or she and her friend will be waiting for her at the train station.",Nancy has a friend.,E,possessive,42,type5_possessive_1_42,her friend,Disjunction Premise
"If Nancy arrives early, her friend will be waiting for her at the train station.",Nancy has a friend.,E,possessive,42,type5_possessive_1_42,her friend,premise
Betty believes that her friend is reliable.,Betty has a friend.,E,possessive,43,type5_possessive_1_43,her friend,Attitude Premise
"If Betty's car breaks down and her friend drives her to the concert, it's okay.",Betty has a friend.,E,possessive,43,type5_possessive_1_43,her friend,Conjunction Premise
"Either Betty's car doesn't break down, or she and her friend drive to the concert.",Betty has a friend.,E,possessive,43,type5_possessive_1_43,her friend,Disjunction Premise
"If Betty's car breaks down, her friend will drive her to the concert.",Betty has a friend.,E,possessive,43,type5_possessive_1_43,her friend,premise
Ella believes that her friends are waiting.,Ella has friends.,E,possessive,44,type5_possessive_1_44,her friends,Attitude Premise
"If Ella finishes her exams early and her friends take her out for a celebratory dinner, it's okay.",Ella has friends.,E,possessive,44,type5_possessive_1_44,her friends,Conjunction Premise
"Either Ella doesn't finish her exams early, or she and her friends go out.",Ella has friends.,E,possessive,44,type5_possessive_1_44,her friends,Disjunction Premise
"If Ella finishes her exams early, her friends will take her out for a celebratory dinner.",Ella has friends.,E,possessive,44,type5_possessive_1_44,her friends,premise
Victoria believes that her best friend is supportive.,Victoria has a best friend.,E,possessive,45,type5_possessive_1_45,her best friend,Attitude Premise
"If Victoria decides to move to New York and her best friend helps her find an apartment, it's okay.",Victoria has a best friend.,E,possessive,45,type5_possessive_1_45,her best friend,Conjunction Premise
"Either Victoria doesn't decide to move to New York, or she and her best friend find an apartment.",Victoria has a best friend.,E,possessive,45,type5_possessive_1_45,her best friend,Disjunction Premise
"If Victoria decides to move to New York, her best friend will help her find an apartment.",Victoria has a best friend.,E,possessive,45,type5_possessive_1_45,her best friend,premise
Matthew believes that his colleagues are ready.,Matthew has colleagues.,E,possessive,46,type5_possessive_1_46,his colleagues,Attitude Premise
"Input: 'If Matthew arrives on time, his colleagues will be able to start the meeting promptly.'
Output: 'If Matthew arrives on time and his colleagues are able to start the meeting promptly, it's okay.",Matthew has colleagues.,E,possessive,46,type5_possessive_1_46,his colleagues,Conjunction Premise
"Either Matthew doesn't arrive on time, or he and his colleagues won't be able to start the meeting promptly.",Matthew has colleagues.,E,possessive,46,type5_possessive_1_46,his colleagues,Disjunction Premise
"If Matthew arrives on time, his colleagues will be able to start the meeting promptly.",Matthew has colleagues.,E,possessive,46,type5_possessive_1_46,his colleagues,premise
Hannah believes that her colleagues are waiting.,Hannah has colleagues.,E,possessive,47,type5_possessive_1_47,her colleagues,Attitude Premise
"If Hannah finishes her work early and her colleagues take her out for lunch, it's okay.",Hannah has colleagues.,E,possessive,47,type5_possessive_1_47,her colleagues,Conjunction Premise
"Either Hannah doesn't finish her work early, or she and her colleagues go out for lunch.",Hannah has colleagues.,E,possessive,47,type5_possessive_1_47,her colleagues,Disjunction Premise
"If Hannah finishes her work early, her colleagues will take her out for lunch.",Hannah has colleagues.,E,possessive,47,type5_possessive_1_47,her colleagues,premise
Paul believes that his best friend is waiting.,Paul has a best friend.,E,possessive,48,type5_possessive_1_48,his best friend,Attitude Premise
"If Paul travels to London and his best friend meets him at the train station, it's okay.",Paul has a best friend.,E,possessive,48,type5_possessive_1_48,his best friend,Conjunction Premise
"Either Paul doesn't travel to London, or he and his best friend meet at the train station.",Paul has a best friend.,E,possessive,48,type5_possessive_1_48,his best friend,Disjunction Premise
"If Paul travels to London, his best friend will meet him at the train station.",Paul has a best friend.,E,possessive,48,type5_possessive_1_48,his best friend,premise
Susan believes that her husband is at the train station.,Susan has a husband.,E,possessive,49,type5_possessive_1_49,her husband,Attitude Premise
"If Susan arrives early and her husband will be waiting for her at the train station, it's okay.",Susan has a husband.,E,possessive,49,type5_possessive_1_49,her husband,Conjunction Premise
"Either Susan doesn't arrive early, or she and her husband will be waiting for her at the train station.",Susan has a husband.,E,possessive,49,type5_possessive_1_49,her husband,Disjunction Premise
"If Susan arrives early, her husband will be waiting for her at the train station.",Susan has a husband.,E,possessive,49,type5_possessive_1_49,her husband,premise
Charles believes that his friend is waiting.,Charles has a friend.,E,possessive,50,type5_possessive_1_50,his friend,Attitude Premise
"If Charles arrives early and his friend meets him at the train station, it's okay.",Charles has a friend.,E,possessive,50,type5_possessive_1_50,his friend,Conjunction Premise
"Either Charles doesn't arrive early, or he and his friend meet at the train station.",Charles has a friend.,E,possessive,50,type5_possessive_1_50,his friend,Disjunction Premise
